"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Enchanted Three-Dragon Ante Set","LLK","15","none","gaming set","","","","","","","One card in this deck is enchanted to appear as whatever specific card its owner commands. This magic works only 25 percent of the time, but the deck is worth 500 gp to any serious gambler who doesn't mind the risk—or who isn't told about it.If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Entertainer's Pack","PHB'24","225","none","adventuring gear","","","","","58½ lb.","40 gp","An Entertainer's Pack contains the following items: Backpack, Bedroll, Bell, Bullseye Lantern, 3 Costumes, Mirror, 8 flasks of Oil, 9 days of Rations, Tinderbox, and Waterskin."
"Essence of Ether","DMG'24","90","none","adventuring gear, poison (inhaled)","","","","","","300 gp","A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Exotic Saddle","PHB'24","230","none","tack and harness","","","","","40 lb.","60 gp","A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. An Exotic Saddle is required for riding an aquatic or a flying mount."
"Explorer's Pack","PHB'24","225","none","adventuring gear","","","","","55 lb.","10 gp","An Explorer's Pack contains the following items: Backpack, Bedroll, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Explosive Seed","EGW","225","none","adventuring gear","","","","","","","This acorn-sized sphere of brass contains a small amount of blasting powder and a clockwork trigger. An explosive seed can be thrown up to 30 feet as an action, detonating on impact. Each creature within 5 feet of the exploding seed must make a DC 10 Dexterity saving throw, taking 1d8 bludgeoning damage on a failed save, or half as much damage on a successful one."
"Eyescratch","WDH","211","none","adventuring gear, poison (contact)","","","","","","","A creature that comes into contact with this poison must succeed on a DC 14 Constitution saving throw or be poisoned for 1 hour and blinded while poisoned in this way. A lesser restoration spell or similar magic ends the effect."
"Fargab","DSotDQ","188","none","adventuring gear","","","","","","","These backpack-sized devices are created in pairs, with matching numbers engraved on them, and allow communication over a long distance using radio frequencies. While wearing a fargab, you can use an action to speak into the device's mouthpiece and send a short message of twenty-five words or less to another creature wearing the matched fargab while it is within 18 miles of you. The message emits from the speakers of the device and can be heard up to 10 feet away from the device. If no creature is wearing the fargab, the speakers make static noises instead."
"Feed (per day)","PHB'24","230","none","tack and harness","","","","","10 lb.","5 cp",""
"Feywild Trinket","WBtW","7","none","adventuring gear","","","","","","","The Feywild Trinkets table that follows offers a selection of trinkets appropriate for Feywild-themed adventures such as this one. Players whose characters have the feylost or Witchlight hand background can roll on this table instead of the Trinkets table in the Player's Handbook to determine what trinkets their characters possess. The adventure includes a few encounters that require you to roll on the table to determine what random trinkets the characters find in key locations.Feywild Trinketsd100Trinket01Cookie cutter shaped like a unicorn02Two yew rings linked together03Silver hand mirror with a nymph-shaped handle04Painted wooden key whose teeth change configuration every day at dawn05Delicate silver cameo with pictures of twin children opposite one another06Golden pendant charm shaped like a leprechaun07Tiny wooden box containing a croquet set sized for pixies or sprites08Tiny pair of sharp, iron scissors09Chess piece shaped like a dancing satyr wearing a bishop's hat and clutching a gnarled staff10Saltshaker shaped like a wizard's tower11Crystal orb that allows an elf who holds it to sleep12Pendant that shows the phases of the moon13Large iron fingernail14Tiny electrum whistle that only Fey can hear15Wooden jigsaw puzzle piece as big as a saucer, with a painted image of a jug on it16Spool of glistening silver thread17Sheet of music that goblins find upsetting when they hear it played or sung18Rotten ogre's tooth with the Elvish glyph for ""moon"" etched into it19Vitrified eye of a displacer beast20Tiny duskwood coffin containing the ashes of a troll21Old invitation to a banquet in the Summer Court, written in ink on vellum in Sylvan22Gossamer shawl that glows faintly in moonlight23Ball-and-cup toy that plays a short, victorious jingle whenever the ball lands in the cup24Sprite's skull covered in ink fingerprints25Silver fork with the outer tines bent sideways26A soot-stained sock in which a nugget of coal magically appears each day at dawn27Tiny wooden stool (sized for a pixie or sprite) that gives splinters to those who hold it28Tiny clockwork dragonfly that slowly beats its wings (but can't fly) when wound up29Toy unicorn made of wood, painted with bright colors30Pixie plushie that sings when you squeeze it311-inch-square painting of a sleeping elf32Thimble that helps you daydream when worn33Pumpkin cupcake that magically regenerates itself in its paper cup each day at dawn34Fake Three-Dragon Ante card depicting a faerie dragon35Teacup made from a varnished mushroom cap that magically keeps its liquid contents lukewarm36Rock that floats and is small enough to hide in your closed fist37Tiny bottle filled with rainwater collected from the Feywild38Opalescent conch shell that laughs when you hold it to your ear39Vial of viscous liquid labeled ""Fomorian spit. Do not drink!""40Wax candle that roars and crackles like a bonfire while lit41Potted daffodil that sways when near a source of music428-ounce, glass wine bottle that magically reassembles itself 1 minute after being broken43Tiny wooden sylph figurehead from a model ship44Tiny pumpkin-shaped cauldron carved out of bog oak45Bar of soap that smells like something memorable from your childhood46Piece of orange parchment folded to look like a knight astride a unicorn47Tinted glasses so dark that they can't be seen through488-inch-long glass ant figurine49Piece of parchment bearing a child's drawing of an oni50Tiny hourglass without sand in it51Empty vial with corked ends at the top and bottom52Pair of green leprechaun boots tied together by their laces53Smoking pipe made from a tree root54Red cap that droops down to one's shoulders when worn55Mask that helps you remember your dreams if you wear it while you sleep56Notebook that shows what's written on it only when held upside down57Wooden top with four sides, each bearing the image of child enjoying a different season58Tiny beehive wig made for sprites or pixies59Wooden mouse figurine that squeaks when held60Stuffed oni doll with a creepy smile and one missing eye61Empty bag labeled ""Candy""62Tinted glass monocle that makes things look green63Black executioner's hood sized for a pixie or sprite64Piano key carved from a satyr's horn65Tiny wooden lute with cat hairs for strings66Iron needle with an eye that refuses to let thread pass through it67Tiny sundial that casts a shadow only in moonlight68Wooden pan flute that attracts harmless local fauna when played69Silvered pinecone70Flask of spectral glowworms that change color to reflect the mood of the flask's holder71Wooden apple painted blue72Tuning fork that sounds the tone for the F key73Nunchaku sized for a pixie or sprite74Copper coin with a smiling satyr's face on one side and a satyr's skull on the other75Severed chicken's foot attached to a leather cord76Collection of baby teeth in a tiny wooden box77Pinwheel whirligig that spins even when there's no wind78Child's parasol covered in moss and leaves79Wooden magnifying glass missing its lens80Glossy mushroom with a red, bell-shaped cap that jingles when shook81Pouch of seeds that smell like home82Petrified robin's egg83Wooden spoon with a hole in the center84Paper wasp nest in a jar85Sprig of rosemary wrapped with ribbon at one end86Tiny, unfurnished dollhouse sized for a pixie child87Paintbrush made entirely of ceramic—even the bristles88Candlestick whose candlelight looks like a tiny, dancing fairy made of fire89Spectacle frames in the shape of butterfly wings90Set of false wooden teeth91Tiny book of fairytales92Rucksack in which one potato magically appears each day at dawn93Pixie's winter jacket lined with fox fur94Tasseled wine charm shaped like a sprite95Weak magnetic wand96100-sided die the size of a plum, cut from coal97Glass slipper, missing its mate98Tiny dreamcatcher99Barbell sized for a pixie or sprite100Music box that plays a sprightly tune you remember from your childhood"
"Fine Clothes","PHB'24","225","none","adventuring gear","","","","","6 lb.","15 gp","Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes."
"Fine Wine (bottle)","PHB'24","231","none","food and drink","","","","","","10 gp",""
"Firearm Bullet","PHB'24","222","none","ammunition","","","","","⅕ lb.","3 sp","The ammunition of a firearm is destroyed upon use.Firearm Bullets are typically stored in a Pouch (bought separately)."
"Firearm Bullets (10)","PHB'24","222","none","ammunition","","","","","2 lb.","3 gp","The ammunition of a firearm is destroyed upon use.Firearm Bullets are typically stored in a Pouch (bought separately)."
"Fishing Tackle","PHB'14","151","none","adventuring gear","","","","","4 lb.","1 gp","This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
"Flail","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d8 Bludgeoning","","Mastery: Sap","2 lb.","10 gp","Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Flask","PHB'24","225","none","adventuring gear","","","","","1 lb.","2 cp","A Flask holds up to 1 pint."
"Flensing Claws","VGM","81","unknown","other","","","","","","","Illithids don't always provide their thralls with normal weapons, such as swords and axes. Sometimes they improve the natural capabilities of thralls by giving them new anatomy. Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The claws deal slashing damage based on the creature's size. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws. Tiny and Gargantuan creatures can't be fitted with flensing claws.Multiple variations of this item exist, as listed below:Flensing Claws (Small)Flensing Claws (Medium)Flensing Claws (Large)Flensing Claws (Huge)"
"Flensing Claws (Huge)","VGM","81","unknown","other","","2d8 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Large)","VGM","81","unknown","other","","1d12 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Medium)","VGM","81","unknown","other","","1d10 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Small)","VGM","81","unknown","other","","1d8 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flour","DMG'24","213","none","trade good","","","","","2 lb.","2 cp","Merchants commonly exchange trade goods without using currency."
"Flute","PHB'24","221","none","instrument","","","","","1 lb.","2 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Flying Fish Ship","AAG","30","none","vehicle (space)","","Speed: 4½ mphCarrying Capacity: 13 tons cargoCrew 10, AC 15, HP 250, Damage Threshold 15","","","","20,000 gp","Aside from space galleons, flying fish ships are the most common vessels in Wildspace, favorites among merchants and adventurers alike.A flying fish ship can float and sail on water, but it isn't built to land on the ground (the ventral fins would snap under the weight of the ship during landing, and the keel would cause the ship to roll to one side).Typical weapons on a flying fish ship include a forward-mounted mangonel and an aft-mounted ballista."
"Forgery Kit","PHB'24","221","none","tool","","","","","5 lb.","15 gp","Ability: DexterityUtilize: Mimic 10 or fewer words of someone else's handwriting (DC 15), or duplicate a wax seal (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Frostfell and Everice Trinket","ERLW","136","none","adventuring gear","","","","","","","Trinkets from the Frostfell and Evericed8Trinket1A small prism carved from ice that doesn't melt2A rusted iron coin, depicting a dwarf lord and the worlds ""Five Rex Undra""3A pair of eight-sided dice carved from ice that doesn't melt4A swatch of silvery fur that's cold to the touch, possibly from a winter wolf5A snowball; it doesn't melt and can't be compressed into ice6A tiny white dragon sculpted from ice that doesn't melt7A key carved from ice that doesn't melt8A single scale from a white dragon"
"Galley","PHB'24","230","none","vehicle (water)","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20","","","","30,000 gp","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Gaming Set","PHB'24","221","none","gaming set","","","","","","","If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Dice SetDragonchess SetPlaying CardsThree-Dragon Ante Set"
"Gate Warden Trinket","SatO","7","none","adventuring gear","","","","","","","d6Trinket1A tiny vial pendant filled with a drop of honey that glows faintly2A small lead ingot that has a strange thumbprint pressed into it and whispers when held tightly3Two lodestone spheres that chime when they attract each other4A smoldering pebble of coal that, while always hot, doesn't burn skin, fur, scales, or clothing5A feather that sheds dim light in a 5-foot radius6A ring made from a chain link that, once donned, won't come off without pulling painfully hard"
"Giant Trinket","BGG","16","none","adventuring gear","","","","","","","While exploring your home, you discovered some trivial remnant of the ancient inhabitants, as determined by rolling on the Giant Trinkets table. The items in parentheses are the normal-sized objects most analogous to the described giant trinkets.Giant Trinketsd6Giant Trinket1A giant's toothpick (a dagger)2A giant's handkerchief (a blanket)3A giant's marble (a crystal orb)4A giant's match (a torch)5A giant's letter opener (a longsword)6A giant's thimble (an iron pot)"
"Ginger","DMG'24","213","none","trade good","","","","","1 lb.","1 gp","Merchants commonly exchange trade goods without using currency."
"Glaive","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Graze","6 lb.","20 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Glass Bottle","PHB'24","224","none","adventuring gear","","","","","2 lb.","2 gp","A Glass Bottle holds up to 1½ pints."
"Glassblower's Tools","PHB'24","220","none","artisan's tools","","","","","5 lb.","30 gp","Ability: IntelligenceUtilize: Discern what a glass object held in the past 24 hours (DC 15)Craft: Glass Bottle, Magnifying Glass, Spyglass, VialArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Glaur","SCAG","124","none","instrument","","","","","","","Short, curved horns like a cornucopia. Played with valves, glaur sound like trumpets, while those without valves, known as gloon, have a more mournful sound.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Gluebomb","TDCSR","100","none","explosive","","","range 30 ft.","","","50 gp","This unique explosive can be primed and thrown up to 30 feet as an action. It explodes on impact. Creatures within 20 feet of it must make a DC 12 Dexterity saving throw or be restrained for 1 minute. A restrained creature can make a DC 12 Strength check as an action, escaping on a success."
"Goat","DMG'24","213","none","trade good","","","","","","1 gp","Merchants commonly exchange trade goods without using currency."
"Gold","DMG'24","213","none","trade good","","","","","1 lb.","50 gp","Merchants commonly exchange trade goods without using currency."
"Goose Egg Trinket","BGG","150","none","adventuring gear","","","","","","","Sometimes, an egg laid by a giant goose inexplicably contains some kind of small trinket or minor magic item. Once it lays a golden egg, a giant goose can't do so again for a year and a day.You can use the Goose Egg Trinket table to determine the contents of a golden egg. A giant goose's egg can be a great way to give characters an item that's important to the story of an adventure or your campaign.Goose Egg Trinketd12Egg Contents1The egg is empty, but the inside of the shell is inscribed with a poem or an intricate illustration.2The gold shell encloses a candy egg.3The egg holds a small toy goose that makes a loud honking noise when squeezed.4The egg contains a potion of giant strength (hill giant) with no container.5The egg holds a pearl of power.6The egg contains a brooch of shielding.7The egg contains a figurine of wondrous power (silver raven) that activates automatically as the egg is opened, releasing what appears to be a living bird.8-12The egg is empty."
"Grappling Hook","PHB'24","225","none","adventuring gear","","","","","4 lb.","2 gp","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Greataxe","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","30 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Greatclub","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","2 sp","Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Greatsword","PHB'24","215","none","weapon, martial weapon, melee weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","50 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Gunpowder (keg)","DMG'24","73","none","explosive","","","","","20 lb.","250 gp","Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder (powder horn)","DMG'24","73","none","explosive","","","","","2 lb.","35 gp","Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one."
"Halberd","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","20 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Half Plate Armor","PHB'24","219","none","medium armor","","AC 15 + Dex (max 2)","","","40 lb.","750 gp","The wearer has Disadvantage on Dexterity (Stealth) checks."
"Hammer","PHB'14","150","none","adventuring gear","","","","","3 lb.","1 gp",""
"Hammerhead Ship","AAG","32","none","vehicle (space)","","Speed: 4 mphCarrying Capacity: 30 tons cargoCrew 15, AC 15, HP 400, Damage Threshold 15","","","","40,000 gp","Hammerhead ships are popular craft, especially among pirates and merchants carrying heavy cargo. They can float on water and sail across it, but they aren't built to land on the ground (their keels would cause them to tip to one side). Standard weapons on a hammerhead ship include fore and aft mangonels, a ballista, and a reinforced bow for ramming."
"Hand Crossbow","PHB'24","215","none","weapon, martial weapon, ranged weapon","","1d6 Piercing","Ammunition (Range 30/120 ft.; Bolt), Light, Loading","Mastery: Vex","3 lb.","75 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Hand Drum","SCAG","124","none","instrument","","","","","","","A double-headed skin drum fitted with handles along its side.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Handaxe","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","5 gp","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Healer's Kit","PHB'24","225","none","adventuring gear","","","","","3 lb.","5 gp","A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check."
"Heavy Crossbow","PHB'24","215","none","weapon, martial weapon, ranged weapon","","1d10 Piercing","Ammunition (Range 100/400 ft.; Bolt), Heavy, Loading, Two‑Handed","Mastery: Push","18 lb.","50 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Herbalism Kit","PHB'24","221","none","tool","","","","","3 lb.","5 gp","Ability: IntelligenceUtilize: Identify a plant (DC 10)Craft: Antitoxin, Candle, Healer's Kit, Potion of HealingIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Hide Armor","PHB'24","219","none","medium armor","","AC 12 + Dex (max 2)","","","12 lb.","10 gp",""
"Holy Symbol","PHB'24","226","none","spellcasting focus","","","","","","","A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Water","PHB'24","226","none","adventuring gear","","","","","1 lb.","25 gp","When you take the Attack action, you can replace one of your attacks with throwing a flask of Holy Water. Target one creature you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d8 Radiant damage if it is a Fiend or an Undead."
"Hooded Lantern","PHB'24","226","none","adventuring gear","","","","","2 lb.","5 gp","A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again."
